profit_per_order,order_item_discount,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_profit_per_order,shipping_mode,distance_normalized,order_to_shipment_days,order_shipping_time,order_to_shipment_planned_days,shipment_delay_days,performance_score_order_full_location,performance_score_customer_full_location,performance_score_order_dayofweek,performance_score_shipping_dayofweek,performance_score_order_hour,performance_score_shipping_hour,performance_score_order_daynight,performance_score_ship_daynight,payment_type_CASH,payment_type_DEBIT,payment_type_PAYMENT,payment_type_TRANSFER,target
0.6818723599436722,0.557963199882111,0.09636492885285008,0.46428571428571425,1.0,0.4735346134411319,0.7139706855418254,1,0.019863225206527797,0.3333333333333333,0.2727272727272727,1.0,0.2,0.7275784753363228,0.7436686903729401,0.1657558556702181,0.0,0.5645146339417617,0.5898819461203546,1.0,1.0,True,False,False,False,-1
0.6544105600895508,0.19350464448359195,0.09641312336590478,0.4667518666666666,0.25,0.15792908876536974,0.7038264652752104,1,0.3343764390811616,0.5,0.4545454545454545,1.0,0.30000000000000004,1.0,0.9642857142857142,0.1657558556702181,0.6789535061400738,0.15827578893273886,0.118859581710689,0.3967607981553485,0.36047632142132713,False,False,True,False,1
0.8148061871263982,0.4835681065644963,0.09636492885285008,0.7976190476190477,1.0,0.4735346134411319,0.8157798211807925,2,0.1315238515375176,0.3333333333333333,0.2727272727272727,0.5,0.4,0.7239583333333333,0.7436686903729401,0.5045100546247561,0.1027567204213291,0.4332191281007134,0.49625387529899223,0.5820744242647038,0.6511740405795674,True,False,False,False,1
0.9117888585674827,0.7144310554115436,0.6987963420364592,1.0,0.0,0.5789750715849756,0.9061294217498478,3,0.5065353854457403,0.3333333333333333,0.2727272727272727,0.25,0.5,1.0,0.6964285714285714,0.5867363803064283,0.8282929015590099,0.7492587886488775,0.7801629834296313,1.0,1.0,False,True,False,False,1
0.7042295097603489,0.44647475471425696,0.12048628263672181,0.7738095238095238,0.25,0.19999578911908372,0.7427428173628106,3,0.3749192089985414,0.3333333333333333,0.2727272727272727,0.25,0.5,0.7121212121212122,0.7804878048780488,0.0,0.5272321958950315,0.7492587886488775,0.7801629834296313,1.0,1.0,True,False,False,False,1
0.6836141836222772,0.08930983591550397,0.09641312336590478,0.5,0.25,0.15792908876536974,0.7088061556688373,1,0.3860625978942326,0.3333333333333333,0.2727272727272727,1.0,0.2,0.675,0.7436686903729401,0.6111877948614257,0.17377634328942726,0.35647980194511897,0.3862349555849307,0.3967607981553485,0.36047632142132713,False,False,True,False,-1
0.38407198462933145,0.041667503946378394,0.07229176958203308,0.0,0.0,0.03158160687215766,0.5314472356941254,3,0.42607881578826823,0.6666666666666666,0.6363636363636364,0.25,0.7000000000000001,0.7916666666666666,0.7436686903729401,1.0,0.1027567204213291,0.4483843270282084,0.4729857403295896,0.5820744242647038,0.6511740405795674,True,False,False,False,1
0.6883852814565699,0.23810002255073362,0.07229176958203308,0.5357142857142857,0.25,0.11577817079332997,0.7080037485377849,1,0.3754570850614926,0.8333333333333333,0.8181818181818182,1.0,0.5,0.6875,0.7436686903729401,0.5045100546247561,1.0,0.7197798613996667,0.7548698456014424,0.5820744242647038,0.6511740405795674,False,False,True,False,1
0.8855557627286197,1.0,0.821857247852332,0.8738773571428572,0.0,0.6864966102408624,0.8814109957385585,1,0.3473231051500826,0.3333333333333333,0.2727272727272727,1.0,0.2,0.6875,0.7436686903729401,0.1657558556702181,0.0,0.46695161498236004,0.5396646409083954,0.20094974103094643,0.24702104803878022,False,False,True,False,0
0.7731291698285311,0.1115926399764222,0.09636492885285008,0.7142857142857143,1.0,0.4735346134411319,0.8012534972486586,2,0.17038630386220416,1.0,0.9999999999999999,0.5,0.8,0.75,0.7436686903729401,0.6111877948614257,0.5272321958950315,0.3083245326170383,0.24134444277878808,0.0,0.0,False,False,False,True,0
